android.animation.ArgbEvaluator,"Object evaluate(float fraction, Object startValue, Object endValue)", This function returns the calculated in-between value for a color given integers that represent the start and end values in the four bytes of the 32-bit int.
android.animation.FloatEvaluator,"Float evaluate(float fraction, Number startValue, Number endValue)"," This function returns the result of linearly interpolating the start and end values, with fraction representing the proportion between the start and end values."
android.animation.IntEvaluator,"Integer evaluate(float fraction, Integer startValue, Integer endValue)"," This function returns the result of linearly interpolating the start and end values, with fraction representing the proportion between the start and end values."
android.animation.LayoutTransition,long getStagger(int transitionType), Gets the length of time to delay between starting each animation during one of the change animations.
android.animation.LayoutTransition,"void setStagger(int transitionType, long duration)", Sets the length of time to delay between starting each animation during one of the change animations.
android.animation.ObjectAnimator,"static ObjectAnimator ofArgb(Object target, String propertyName, int... values)", Constructs and returns an ObjectAnimator that animates between color values.
android.animation.ObjectAnimator,"static <T> ObjectAnimator ofArgb(T target, Property<T,Integer> property, int... values)", Constructs and returns an ObjectAnimator that animates between color values.
android.animation.ObjectAnimator,"static <T> ObjectAnimator ofFloat(T target, Property<T,Float> property, float... values)", Constructs and returns an ObjectAnimator that animates between float values.
android.animation.ObjectAnimator,"static ObjectAnimator ofFloat(Object target, String propertyName, float... values)", Constructs and returns an ObjectAnimator that animates between float values.
android.animation.ObjectAnimator,"static <T> ObjectAnimator ofInt(T target, Property<T,Integer> property, int... values)", Constructs and returns an ObjectAnimator that animates between int values.
android.animation.ObjectAnimator,"static ObjectAnimator ofInt(Object target, String propertyName, int... values)", Constructs and returns an ObjectAnimator that animates between int values.
android.animation.ObjectAnimator,"static <T,V> ObjectAnimator ofObject(T target, Property<T,V> property, TypeEvaluator<V> evaluator, V... values)", Constructs and returns an ObjectAnimator that animates between Object values.
android.animation.ObjectAnimator,"static <T,V,P> ObjectAnimator ofObject(T target, Property<T,P> property, TypeConverter<V,P> converter, TypeEvaluator<V> evaluator, V... values)", Constructs and returns an ObjectAnimator that animates between Object values.
