android.animation.Animator.AnimatorListener,abstract void onAnimationCancel(Animator animation), Notifies the cancellation of the animation.
android.animation.Animator.AnimatorListener,abstract void onAnimationEnd(Animator animation), Notifies the end of the animation.
android.animation.Animator.AnimatorListener,"default void onAnimationEnd(Animator animation, boolean isReverse)", Notifies the end of the animation.
android.animation.Animator.AnimatorListener,abstract void onAnimationRepeat(Animator animation), Notifies the repetition of the animation.
android.animation.Animator.AnimatorListener,abstract void onAnimationStart(Animator animation), Notifies the start of the animation.
android.animation.Animator.AnimatorListener,"default void onAnimationStart(Animator animation, boolean isReverse)", Notifies the start of the animation as well as the animation's overall play direction.
android.animation.Animator.AnimatorPauseListener,abstract void onAnimationPause(Animator animation), Notifies that the animation was paused.
android.animation.Animator.AnimatorPauseListener,abstract void onAnimationResume(Animator animation)," Notifies that the animation was resumed, after being previously paused."
android.animation.Animator,void addListener(Animator.AnimatorListener listener)," Adds a listener to the set of listeners that are sent events through the life of an animation, such as start, repeat, and end."
android.animation.Animator,void addPauseListener(Animator.AnimatorPauseListener listener), Adds a pause listener to this animator.
android.animation.Animator,void cancel(), Cancels the animation.
android.animation.Animator,Animator clone(), Creates and returns a copy of this object.
android.animation.Animator,void end(), Ends the animation.
android.animation.Animator,abstract long getDuration(), Gets the duration of the animation.
android.animation.Animator,TimeInterpolator getInterpolator(), Returns the timing interpolator that this animation uses.
android.animation.Animator,ArrayList<Animator.AnimatorListener> getListeners(), Gets the set of Animator.AnimatorListener objects that are currently listening for events on this Animator object.
android.animation.Animator,abstract long getStartDelay()," The amount of time, in milliseconds, to delay processing the animation after start() is called."
android.animation.Animator,long getTotalDuration()," Gets the total duration of the animation, accounting for animation sequences, start delay, and repeating."
android.animation.Animator,boolean isPaused(), Returns whether this animator is currently in a paused state.
android.animation.Animator,abstract boolean isRunning(), Returns whether this Animator is currently running (having been started and gone past any initial startDelay period and not yet ended).
android.animation.Animator,boolean isStarted(), Returns whether this Animator has been started and not yet ended.
android.animation.Animator,void pause(), Pauses a running animation.
android.animation.Animator,void removeAllListeners(), Removes all listeners and pauseListeners from this object.
android.animation.Animator,void removeListener(Animator.AnimatorListener listener), Removes a listener from the set listening to this animation.
android.animation.Animator,void removePauseListener(Animator.AnimatorPauseListener listener), Removes a pause listener from the set listening to this animation.
android.animation.Animator,void resume()," Resumes a paused animation, causing the animator to pick up where it left off when it was paused."
android.animation.Animator,abstract Animator setDuration(long duration), Sets the duration of the animation.
android.animation.Animator,abstract void setInterpolator(TimeInterpolator value), The time interpolator used in calculating the elapsed fraction of the animation.
android.animation.Animator,abstract void setStartDelay(long startDelay)," The amount of time, in milliseconds, to delay processing the animation after start() is called."
android.animation.Animator,void setTarget(Object target), Sets the target object whose property will be animated by this animation.
android.animation.Animator,void setupEndValues(), This method tells the object to use appropriate information to extract ending values for the animation.
android.animation.Animator,void setupStartValues(), This method tells the object to use appropriate information to extract starting values for the animation.
android.animation.Animator,void start(), Starts this animation.
android.animation.AnimatorInflater,"static Animator loadAnimator(Context context, int id)", Loads an Animator object from a resource
android.animation.AnimatorInflater,"static StateListAnimator loadStateListAnimator(Context context, int id)",
android.animation.AnimatorListenerAdapter,void onAnimationCancel(Animator animation), Notifies the cancellation of the animation.
android.animation.AnimatorListenerAdapter,void onAnimationEnd(Animator animation), Notifies the end of the animation.
android.animation.AnimatorListenerAdapter,void onAnimationPause(Animator animation), Notifies that the animation was paused.
android.animation.AnimatorListenerAdapter,void onAnimationRepeat(Animator animation), Notifies the repetition of the animation.
android.animation.AnimatorListenerAdapter,void onAnimationResume(Animator animation)," Notifies that the animation was resumed, after being previously paused."
android.animation.AnimatorListenerAdapter,void onAnimationStart(Animator animation), Notifies the start of the animation.
android.animation.AnimatorSet.Builder,AnimatorSet.Builder after(long delay), Sets up the animation supplied in the play(Animator) call that created this Builder object to play when the given amount of time elapses.
android.animation.AnimatorSet.Builder,AnimatorSet.Builder after(Animator anim), Sets up the given animation to play when the animation supplied in the play(Animator) call that created this Builder object to start when the animation supplied in this method call ends.
android.animation.AnimatorSet.Builder,AnimatorSet.Builder before(Animator anim), Sets up the given animation to play when the animation supplied in the play(Animator) call that created this Builder object ends.
android.animation.AnimatorSet.Builder,AnimatorSet.Builder with(Animator anim), Sets up the given animation to play at the same time as the animation supplied in the play(Animator) call that created this Builder object.
android.animation.AnimatorSet,void cancel(), Cancels the animation. Note that canceling a AnimatorSet also cancels all of the animations that it is responsible for.
android.animation.AnimatorSet,AnimatorSet clone(), Creates and returns a copy of this object.
android.animation.AnimatorSet,void end(), Ends the animation. Note that ending a AnimatorSet also ends all of the animations that it is responsible for.
android.animation.AnimatorSet,ArrayList<Animator> getChildAnimations(), Returns the current list of child Animator objects controlled by this AnimatorSet.
android.animation.AnimatorSet,long getCurrentPlayTime(), Returns the milliseconds elapsed since the start of the animation.
android.animation.AnimatorSet,long getDuration(), Gets the length of each of the child animations of this AnimatorSet.
android.animation.AnimatorSet,TimeInterpolator getInterpolator(), Returns the timing interpolator that this animation uses.
android.animation.AnimatorSet,long getStartDelay()," The amount of time, in milliseconds, to delay starting the animation after start() is called."
android.animation.AnimatorSet,long getTotalDuration()," Gets the total duration of the animation, accounting for animation sequences, start delay, and repeating."
android.animation.AnimatorSet,boolean isRunning(), Returns true if any of the child animations of this AnimatorSet have been started and have not yet ended.
android.animation.AnimatorSet,boolean isStarted(), Returns whether this Animator has been started and not yet ended.
android.animation.AnimatorSet,void pause(), Pauses a running animation.
android.animation.AnimatorSet,AnimatorSet.Builder play(Animator anim)," This method creates a Builder object, which is used to set up playing constraints."
android.animation.AnimatorSet,void playSequentially(List<Animator> items), Sets up this AnimatorSet to play each of the supplied animations when the previous animation ends.
android.animation.AnimatorSet,void playSequentially(Animator... items), Sets up this AnimatorSet to play each of the supplied animations when the previous animation ends.
android.animation.AnimatorSet,void playTogether(Collection<Animator> items), Sets up this AnimatorSet to play all of the supplied animations at the same time.
android.animation.AnimatorSet,void playTogether(Animator... items), Sets up this AnimatorSet to play all of the supplied animations at the same time.
